run_id,status,context_target,concurrency,repetitions,requests_planned,requests_success,requests_failed,prompt_tokens_min,prompt_tokens_p50,prompt_tokens_max,completion_tokens_total,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,latency_ms_p50,latency_ms_p95,latency_ms_p99,input_tokens_per_second,output_tokens_per_second,total_tokens_per_second,wave_wall_seconds,error_summary,started_at,finished_at
dsv4-r1-20260820T084738Z,pending,50000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,50000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,60000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,70000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,80000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,90000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,90000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,90000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,90000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,90000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,90000,6,1,6,0,0,,,,,,,,,,,,,,,,,
