run_id,status,context_target,concurrency,repetitions,requests_planned,requests_success,requests_failed,prompt_tokens_min,prompt_tokens_p50,prompt_tokens_max,completion_tokens_total,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,latency_ms_p50,latency_ms_p95,latency_ms_p99,input_tokens_per_second,output_tokens_per_second,total_tokens_per_second,wave_wall_seconds,error_summary,started_at,finished_at
dsv4-r1-two-20260820T131823Z,pending,80000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,80000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,80000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,80000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,80000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,80000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,80000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,90000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,90000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,90000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,90000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,90000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,90000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,90000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,90000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,100000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,100000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,100000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,100000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,100000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,100000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,100000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,100000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,110000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-two-20260820T131823Z,pending,110000,2,1,2,0,0,,,,,,,,,,,,,,,,,
